trial_num,cue1_stimulus,cue1_duration,isi,cue2_stimulus,cue2_duration,iti,correct_response
1,cue1_orangeHigh_blueLow,1000,1322,cue2_blue,2000,1000, 
2,cue1_orangeHigh_blueLow,1000,1260,cue2_orange,2000,1000,
3,cue1_orange,1000,1280,cue2_orange,2000,1000,
4,cue1_orange,1000,1440,cue2_orange,2000,1000,
5,cue1_orange,1000,900,cue2_orange,2000,1000,
6,cue1_orange,1000,1320,cue2_orange,2000,1000,
7,cue1_orangeHigh_blueLow,1000,1120,cue2_orange,2000,1000,
8,cue1_orangeHigh_blueLow,1000,1100,cue2_orange,2000,1000,
9,cue1_orangeHigh_blueLow,1000,1100,cue2_blue,2000,1000, 
10,cue1_orangeHigh_blueLow,1000,1520,cue2_orange,2000,1000,
11,cue1_orangeHigh_blueLow,1000,1544,cue2_blue,2000,1000, 
12,cue1_orange,1000,1340,cue2_orange,2000,1000,
13,cue1_orangeHigh_blueLow,1000,1211,cue2_blue,2000,1000, 
14,cue1_blueHigh_orangeLow,1000,1180,cue2_blue,2000,1000, 
15,cue1_orangeHigh_blueLow,1000,1200,cue2_orange,2000,1000,
16,cue1_blueHigh_orangeLow,1000,1440,cue2_blue,2000,1000, 
17,cue1_blueHigh_orangeLow,1000,1460,cue2_blue,2000,1000, 
18,cue1_orangeHigh_blueLow,1000,1580,cue2_orange,2000,1000,
19,cue1_orangeHigh_blueLow,1000,1300,cue2_orange,2000,1000,
20,cue1_blueHigh_orangeLow,1000,1160,cue2_blue,2000,1000, 
21,cue1_orangeHigh_blueLow,1000,1380,cue2_orange,2000,1000,
22,cue1_orange,1000,1240,cue2_orange,2000,1000,
23,cue1_orange,1000,1540,cue2_orange,2000,1000,
24,cue1_blueHigh_orangeLow,1000,700,cue2_orange,2000,1000,
25,cue1_blueHigh_orangeLow,1000,1280,cue2_blue,2000,1000, 
26,cue1_orangeHigh_blueLow,1000,1540,cue2_orange,2000,1000,
27,cue1_blueHigh_orangeLow,1000,1560,cue2_blue,2000,1000, 
28,cue1_blueHigh_orangeLow,1000,900,cue2_orange,2000,1000,
29,cue1_blueHigh_orangeLow,1000,1520,cue2_blue,2000,1000, 
30,cue1_blueHigh_orangeLow,1000,1320,cue2_blue,2000,1000, 
31,cue1_blueHigh_orangeLow,1000,1480,cue2_blue,2000,1000, 
32,cue1_orangeHigh_blueLow,1000,1420,cue2_orange,2000,1000,
33,cue1_blueHigh_orangeLow,1000,1100,cue2_blue,2000,1000, 
34,cue1_orange,1000,1300,cue2_orange,2000,1000,
35,cue1_blueHigh_orangeLow,1000,1489,cue2_orange,2000,1000,
36,cue1_orangeHigh_blueLow,1000,1340,cue2_orange,2000,1000,
37,cue1_orange,1000,1400,cue2_orange,2000,1000,
38,cue1_orangeHigh_blueLow,1000,1280,cue2_orange,2000,1000,
