trial_num,cue1_stimulus,cue1_duration,isi,cue2_stimulus,cue2_duration,iti,correct_response
1,cue1_blue,1000,816,cue2_blue,2000,1000, 
2,cue1_blue,1000,900,cue2_blue,2000,1000, 
3,cue1_blue,1000,711,cue2_blue,2000,1000, 
4,cue1_blue,1000,837,cue2_blue,2000,1000, 
5,cue1_blue,1000,847,cue2_blue,2000,1000, 
6,cue1_blue,1000,795,cue2_blue,2000,1000, 
7,cue1_blue,1000,826,cue2_blue,2000,1000, 
8,cue1_blue,1000,879,cue2_blue,2000,1000, 
9,cue1_blue,1000,774,cue2_blue,2000,1000, 
10,cue1_blue,1000,784,cue2_blue,2000,1000, 
11,cue1_blue,1000,700,cue2_blue,2000,1000, 
12,cue1_blue,1000,742,cue2_blue,2000,1000, 
13,cue1_blue,1000,868,cue2_blue,2000,1000, 
14,cue1_blue,1000,805,cue2_blue,2000,1000, 
15,cue1_blue,1000,763,cue2_blue,2000,1000, 
16,cue1_blue,1000,753,cue2_blue,2000,1000, 
17,cue1_blue,1000,858,cue2_blue,2000,1000, 
18,cue1_blue,1000,721,cue2_blue,2000,1000, 
19,cue1_blue,1000,732,cue2_blue,2000,1000, 
20,cue1_blue,1000,889,cue2_blue,2000,1000, 
